ASIN,Name,Price,Old_Price,Discount,URL
B0FWV56H48,"TurboTax Deluxe Desktop Edition 2025, Federal & State Tax Return [PC/Mac Download]",Deal Price: EUR 38.13,EUR 67.80,44% off,https://www.amazon.com/TurboTax-Deluxe-Desktop-Federal-Download/dp/B0FWV56H48?ref=dlx_deals_dg_dcl_B0FWV56H48_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B01M16WBW1,"Queen Size 4 Piece Sheet Set - Comfy Breathable & Cooling Bed Sheets Set - Hotel Luxury Bedding for Women, Men, Kids, Teens, Boys & Girls - Deep Pockets, Ultra-Soft, Wrinkle Free - Oeko-Tex - White",Deal Price: EUR 18.00,,15% off,https://www.amazon.com/Queen-Size-Piece-Sheet-Set/dp/B01M16WBW1?ref=dlx_deals_dg_dcl_B01M16WBW1_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B0C2C9NHZW,"LEVOIT Top Fill Humidifiers for Bedroom, 2.5L Tank for Large Room, Easy to Fill & Clean, 28dB Quiet Cool Mist Air Humidifier for Home Baby Nursery & Plants, Auto Shut-off for Safety, 25H",Deal Price: EUR 23.69,EUR 33.89,30% off,https://www.amazon.com/LEVOIT-Humidifiers-Humidifier-Shut-off-BPA-Free/dp/B0C2C9NHZW?ref=dlx_deals_dg_dcl_B0C2C9NHZW_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B00HFQQ0VU,"Waterpik Aquarius Water Flosser For Teeth Cleaning, Gums, Braces, Dental Care, Electric Power With 10 Settings, 7 Tips For Multiple Users And Needs, ADA Accepted, White WP-660, Packaging May Vary",Deal Price: EUR 50.84,,25% off,https://www.amazon.com/Waterpik-Aquarius-Professional-WP-660-Packaging/dp/B00HFQQ0VU?ref=dlx_deals_dg_dcl_B00HFQQ0VU_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B07VVK39F7,"LEVOIT Air Purifier for Home Allergens Pet Hair in Bedroom, Covers Up to 1073 ft² by 56W High Torque Motor, AHAM VERIFIDE, 3-in-1 Filter with HEPA Sleep Mode, Remove Dust Smoke Odor, Core300-P, White",Deal Price: EUR 72.00,EUR 84.75,15% off,https://www.amazon.com/LEVOIT-Purifier-Home-Allergies-Pets/dp/B07VVK39F7?ref=dlx_deals_dg_dcl_B07VVK39F7_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B0DP542W7G,"TYMO Automatic Rotating Curling Iron - TYMO CURLPRO Beach Waves Curling Wand, Portable Hair Curler, 500 Million Ionic, Dual Voltage & Lightweight for Travel, Ceramic Coating, 1 Inch, Pink",Deal Price: EUR 40.67,EUR 59.32,31% off,https://www.amazon.com/TYMO-Automatic-Rotating-Curling-Iron/dp/B0DP542W7G?ref=dlx_deals_dg_dcl_B0DP542W7G_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B0FRPW868X,H&R Block Tax Software Deluxe + State 2025 Win/Mac [PC/Mac Online Code],Deal Price: EUR 25.42,EUR 50.84,50% off,https://www.amazon.com/Block-Software-Deluxe-State-Online/dp/B0FRPW868X?ref=dlx_deals_dg_dcl_B0FRPW868X_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B0D9VS4PV7,"SUPFINE Magnetic for iPhone 14 Case & iPhone 13 Case (Compatible with MagSafe)(Military Grade Drop Protection) Translucent Matte Shockproof Phone Cover,Black",Deal Price: EUR 6.60,,22% off,https://www.amazon.com/SUPFINE-Compatible-Protection-Translucent-Anti-Fingerprint/dp/B0D9VS4PV7?ref=dlx_deals_dg_dcl_B0D9VS4PV7_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B0CNTRVZPW,"Waterpik Cordless Pulse Rechargeable Portable Water Flosser for Teeth, Gums, Braces Care and Travel with 2 Flossing Tips, Waterproof for Shower, ADA Accepted, WF-20 White, Packaging and Tips May Vary",Deal Price: EUR 33.89,EUR 42.37,20% off,https://www.amazon.com/Waterpik-Cordless-Rechargeable-Portable-Waterproof/dp/B0CNTRVZPW?ref=dlx_deals_dg_dcl_B0CNTRVZPW_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B094DMH7ZM,"Airmoto Tire Inflator Portable Air Compressor - Air Pump for Car Tires with Digital Pressure Gauge, LED Light and Auto Shut-Off Function - Cordless Pump for Car, Motorcycle, Bicycle, Ball",Deal Price: EUR 50.84,EUR 75.43,33% off,https://www.amazon.com/Airmoto-Tire-Inflator-Air-Compressor/dp/B094DMH7ZM?ref=dlx_deals_dg_dcl_B094DMH7ZM_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
